68,0.567000,-3.121716,0.540699,-89.150139,-290.863434,2184.851807,986.866089
69,0.575000,-3.129609,0.537887,-89.157867,-290.865662,2184.840332,986.875671
70,0.583000,-3.113136,0.542178,-89.151321,-290.860474,2184.846924,986.866882
71,0.592000,-3.114493,0.549953,-89.146332,-290.860107,2184.848145,986.871033
72,0.600000,-3.125508,0.542533,-89.154648,-290.859772,2184.842041,986.873047
73,0.608000,-3.128636,0.537172,-89.160873,-290.858246,2184.830566,986.879028
74,0.617000,-3.127193,0.539370,-89.158920,-290.853333,2184.834473,986.879456
75,0.625000,-3.135754,0.539498,-89.160278,-290.860016,2184.838623,986.879639
76,0.633000,-3.132496,0.543374,-89.153015,-290.862061,2184.841553,986.886719
77,0.642000,-3.132300,0.540967,-89.154930,-290.863068,2184.839111,986.883606
78,0.650000,-3.126557,0.545937,-89.148071,-290.857391,2184.843506,986.873535
79,0.658000,-3.122569,0.543508,-89.152657,-290.864014,2184.841309,986.873657
80,0.667000,-3.122774,0.546727,-89.154465,-290.856415,2184.835449,986.878418
81,0.675000,-3.120509,0.543779,-89.153488,-290.854767,2184.841064,986.871460
82,0.683000,-3.162646,0.604994,-89.159950,-290.853363,2184.863770,986.898926
83,0.692000,-3.136057,0.565011,-89.153496,-290.862030,2184.865234,986.877686
84,0.700000,-3.119133,0.553164,-89.143562,-290.867828,2184.850098,986.875977
85,0.708000,-3.118270,0.542080,-89.149315,-290.865021,2184.848389,986.874878
86,0.717000,-3.120762,0.535385,-89.154022,-290.868774,2184.844238,986.872803
87,0.725000,-3.124995,0.551395,-89.156387,-290.859955,2184.834473,986.878601
88,0.733000,-3.134081,0.550454,-89.155174,-290.854248,2184.826660,986.881714
89,0.742000,-3.121937,0.544835,-89.155548,-290.855682,2184.830566,986.872498
90,0.750000,-3.121044,0.540513,-89.152672,-290.850403,2184.825684,986.881592
91,0.758000,-3.132000,0.545787,-89.152138,-290.849304,2184.821045,986.879944
92,0.767000,-3.133688,0.534594,-89.157372,-290.852905,2184.827637,986.873230
93,0.775000,-3.127701,0.537258,-89.154694,-290.855347,2184.828125,986.873962
94,0.783000,-3.132697,0.538585,-89.157242,-290.847687,2184.821045,986.889099
95,0.792000,-3.130442,0.534515,-89.160156,-290.851685,2184.820801,986.899658
96,0.800000,-3.127016,0.539954,-89.156273,-290.853973,2184.827148,986.893982
