Format Version,1.23,Take Name,Take 2024-05-02 03.43.47 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-05-02 03.43.48.144 PM,Capture Start Frame,281284,Total Frames in Take,6017,Total Exported Frames,6017,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-0.015820,-0.022774,-0.701690,0.711942,2184.826416,-290.861481,986.883362,2120.233887,-235.456512,982.174927,2188.051758,-228.943176,982.428223,2223.685059,-344.314026,992.323242,2133.411377,-359.546173,989.324280,2231.348633,-303.376617,988.051208,2212.227295,-273.532318,986.998169,2247.832520,-348.516113,982.824097,2179.566162,-353.052063,986.970947,2147.569580,-235.686569,990.785522,2237.517578,-223.433914,982.688660,2139.213623,-276.873108,988.905029,2157.203369,-307.287018,989.108154,445.893829,2447.146484,791.992310,553.481628,2615.691162,792.605042,,,,,,
7,0.058000,-0.015786,-0.022718,-0.701701,0.711934,2184.831543,-290.857788,986.882874,2120.240479,-235.450470,982.183533,2188.058594,-228.938965,982.435486,2223.688965,-344.312073,992.314758,2133.414795,-359.541412,989.316711,2231.353760,-303.374329,988.047729,2212.233154,-273.529388,986.998962,2247.843750,-348.518280,982.832581,2179.577881,-353.049591,986.959839,2147.570557,-235.686020,990.785461,2237.503174,-223.425919,982.697632,2139.204590,-276.861969,988.895813,2157.205078,-307.273956,989.120300,445.883270,2447.227539,791.896423,553.487305,2615.693115,792.617676,,,,,,
8,0.067000,-0.015706,-0.023318,-0.701757,0.711862,2184.856934,-290.852448,986.911499,2120.279053,-235.438370,982.109070,2188.097900,-228.937408,982.422241,2223.700439,-344.308899,992.419983,2133.427002,-359.526184,989.345276,2231.375977,-303.375488,988.130615,2212.260986,-273.528320,987.041626,2247.844238,-348.513580,982.822510,2179.712158,-352.951691,987.075256,2147.566895,-235.698761,990.788513,2237.506836,-223.425873,982.703064,2139.199463,-276.862823,988.916504,2157.206055,-307.282288,989.127197,445.883942,2447.169678,791.951599,553.454224,2615.682861,792.590881,,,,,,
9,0.075000,-0.015802,-0.022965,-0.701715,0.711912,2184.847168,-290.861145,986.888245,2120.259766,-235.452805,982.147034,2188.078125,-228.944092,982.419006,2223.700439,-344.315063,992.352722,2133.426758,-359.541656,989.330383,2231.368408,-303.379211,988.073120,2212.249268,-273.533844,987.007019,2247.842773,-348.518768,982.812561,2179.626953,-353.051514,987.042725,2147.576416,-235.686737,990.779907,2237.505615,-223.420532,982.700439,2139.205322,-276.856842,988.920959,2157.196045,-307.284119,989.115173,445.901062,2447.216064,791.919373,553.442932,2615.683594,792.577026,,,,,,
10,0.083000,-0.015871,-0.022747,-0.701736,0.711897,2184.833008,-290.857910,986.877686,2120.247314,-235.444580,982.174316,2188.065918,-228.940155,982.420166,2223.685303,-344.315399,992.315186,2133.409180,-359.535767,989.326355,2231.354004,-303.379150,988.040955,2212.236328,-273.532349,986.988953,2247.845947,-348.511810,982.818298,2179.587402,-353.065247,986.954895,2147.575684,-235.678558,990.773315,2237.513916,-223.415054,982.683533,2139.201904,-276.871155,988.922424,2157.195801,-307.283142,989.116577,445.897736,2447.051758,792.052124,553.454590,2615.825928,792.504761,,,,,,
11,0.092000,-0.015827,-0.022696,-0.701719,0.711916,2184.832275,-290.854218,986.875061,2120.243652,-235.443619,982.179932,2188.062256,-228.935684,982.425781,2223.687500,-344.310394,992.304932,2133.412109,-359.535065,989.315186,2231.354004,-303.373169,988.036133,2212.234619,-273.527252,986.988342,2247.852051,-348.510773,982.818726,2179.575439,-353.057129,986.942261,2147.572754,-235.679657,990.777527,2237.510254,-223.417099,982.688660,2139.214355,-276.857574,988.891296,2157.200928,-307.278351,989.119751,445.921448,2447.199463,791.917175,553.386108,2615.697998,792.557983,,,,,,
12,0.100000,-0.015821,-0.022697,-0.701721,0.711914,2184.830078,-290.859436,986.876160,2120.241943,-235.448471,982.180786,2188.060303,-228.940887,982.427429,2223.685059,-344.315857,992.306030,2133.409668,-359.540009,989.315247,2231.351562,-303.378632,988.037659,2212.232666,-273.532623,986.989929,2247.842041,-348.514465,982.827454,2179.584229,-353.059082,986.943909,2147.587646,-235.685913,990.774963,2237.507080,-223.426880,982.684631,2139.198730,-276.871368,988.899780,2157.190918,-307.281189,989.118958,445.914154,2447.107422,791.982300,553.440857,2615.694580,792.590149,,,,,,
13,0.108000,-0.015805,-0.022745,-0.701699,0.711935,2184.827393,-290.863129,986.878967,2120.235840,-235.456467,982.175232,2188.053955,-228.944565,982.427673,2223.685059,-344.316833,992.314819,2133.410889,-359.546906,989.316589,2231.349365,-303.379333,988.045227,2212.228760,-273.534576,986.994385,2247.839111,-348.518280,982.823608,2179.577637,-353.056519,986.960632,2147.575195,-235.687881,990.788391,2237.511719,-223.437775,982.685913,2139.190430,-276.870392,988.903564,2157.187256,-307.286011,989.113159,445.899780,2447.045898,792.060242,553.456970,2615.677246,792.574341,,,,,,
14,0.117000,-0.015742,-0.022771,-0.701706,0.711928,2184.833740,-290.864410,986.876343,2120.243896,-235.456375,982.167480,2188.062012,-228.945679,982.428711,2223.689697,-344.319092,992.314209,2133.416016,-359.547394,989.303833,2231.355713,-303.381470,988.047791,2212.235352,-273.536316,986.996094,2247.849121,-348.517120,982.827820,2179.583008,-353.053406,986.965698,2147.578857,-235.701584,990.776550,2237.506836,-223.441544,982.682739,2139.195557,-276.869781,988.897522,2157.197266,-307.284119,989.112305,445.888611,2447.081299,792.037292,553.481506,2615.686523,792.586792,,,,,,
15,0.125000,-0.015707,-0.022811,-0.701700,0.711934,2184.833496,-290.868286,986.874268,2120.243164,-235.461533,982.158264,2188.061035,-228.949524,982.426514,2223.689941,-344.322174,992.316589,2133.416748,-359.552277,989.296875,2231.355469,-303.384430,988.050659,2212.234863,-273.539673,986.996765,2247.844971,-348.523712,982.827637,2179.578857,-353.065826,986.980042,2147.560059,-235.692383,990.781250,2237.509521,-223.433456,982.679260,2139.189941,-276.867889,988.879639,2157.197510,-307.291901,989.128113,445.865875,2447.189941,791.927368,553.480164,2615.687256,792.591248,,,,,,
16,0.133000,-0.015698,-0.022742,-0.701699,0.711937,2184.835938,-290.863281,986.878845,2120.244629,-235.456329,982.174561,2188.062744,-228.944000,982.437744,2223.693115,-344.317596,992.311829,2133.419434,-359.547791,989.298218,2231.358154,-303.379333,988.049866,2212.237061,-273.534546,987.000916,2247.854736,-348.518982,982.825500,2179.581055,-353.057770,986.979614,2147.565674,-235.691940,990.778625,2237.519531,-223.432632,982.699280,2139.196289,-276.867554,988.888062,2157.193115,-307.286835,989.120789,445.860138,2447.100830,791.995422,553.489197,2615.688477,792.604980,,,,,,
